"","rank","country","crimeIndex","pop2022"
"1",1,"Venezuela",83.76,28301.696
"2",2,"Papua New Guinea",80.79,10142.619
"3",3,"South Africa",76.86,59893.885
"4",4,"Afghanistan",76.31,41128.771
"5",5,"Honduras",74.54,10432.86
"6",6,"Trinidad And Tobago",71.63,1531.044
"7",7,"Guyana",68.74,808.726
"8",8,"El Salvador",67.79,6336.392
"9",9,"Brazil",67.49,215313.498
"10",10,"Jamaica",67.42,2827.377
"11",11,"Syria",67.18,22125.249
"12",12,"Peru",66.72,34049.588
"13",13,"Angola",66.48,35588.987
"14",14,"Cameroon",65.24,27914.536
"15",15,"Namibia",65.21,2567.012
"16",16,"Nigeria",64.06,218541.212
"17",17,"Bangladesh",63.9,171186.372
"18",18,"Argentina",63.82,45510.318
"19",19,"Puerto Rico",62.84,3252.407
"20",20,"Bahamas",62.06,409.984
"21",21,"Libya",61.78,6812.341
"22",22,"Dominican Republic",61.02,11228.821
"23",23,"Kenya",60.14,54027.487
"24",24,"Belarus",59.58,9534.954
"25",25,"Zimbabwe",59.3,16320.537
"26",26,"Guatemala",58.67,17843.908
"27",27,"Bolivia",57.77,12224.11
"28",28,"Fiji",57.62,929.766
"29",29,"Malaysia",57.29,33938.221
"30",30,"Colombia",56.87,51874.024
"31",31,"Kyrgyzstan",56.87,6630.623
"32",32,"Uganda",56.12,47249.585
"33",33,"Somalia",56.04,17597.511
"34",34,"Mongolia",56.01,3398.366
"35",35,"Tanzania",56,65497.748
"36",36,"Maldives",55.34,523.787
"37",37,"Ecuador",55.23,18001
"38",38,"Costa Rica",54.22,5180.829
"39",39,"Mexico",54.19,127504.125
"40",40,"Kazakhstan",53.77,19397.998
"41",41,"Chile",53.42,19603.733
"42",42,"Botswana",52.98,2630.296
"43",43,"Algeria",52.03,44903.225
"44",44,"France",51.99,64626.628
"45",45,"Uruguay",51.73,3422.794
"46",46,"Cambodia",51.13,16767.842
"47",47,"Belize",50.39,405.272
"48",48,"Iran",49.38,88550.57
"49",49,"Paraguay",49.37,6780.744
"50",50,"Ethiopia",49.3,123379.924
"51",51,"Mauritius",48.88,1299.469
"52",52,"Morocco",48.66,37457.971
"53",53,"Iraq",48.42,44496.122
"54",54,"Sweden",48,10549.347
"55",55,"Nicaragua",47.89,6948.392
"56",56,"United States of America",47.81,338289.857
"57",57,"Ukraine",47.42,39701.739
"58",58,"Ghana",46.98,33475.87
"59",59,"Egypt",46.83,110990.103
"60",60,"Lebanon",46.77,5489.739
"61",61,"Myanmar",46.51,54179.306
"62",62,"Moldova",46.35,3272.996
"63",63,"Vietnam",46.19,98186.856
"64",64,"United Kingdom",46.07,67508.936
"65",65,"Indonesia",45.93,275501.339
"66",66,"Greece",45.85,10384.971
"67",67,"Ireland",45.51,5023.109
"68",68,"Panama",45.15,4408.581
"69",69,"Italy",44.85,59037.474
"70",70,"Belgium",44.58,11655.93
"71",71,"India",44.43,1417173.173
"72",72,"Palestine",43.74,5250.072
"73",73,"Tunisia",43.69,12356.117
"74",74,"Zambia",43.62,20017.675
"75",75,"Australia",43.03,26177.413
"76",76,"Bosnia And Herzegovina",42.99,3233.526
"77",77,"New Zealand",42.88,5185.288
"78",78,"Albania",42.53,2842.321
"79",79,"Pakistan",42.51,235824.862
"80",80,"Philippines",42.46,115559.009
"81",81,"Sudan",42.34,46874.204
"82",82,"Canada",41.89,38454.327
"83",83,"Sri Lanka",41.39,21832.143
"84",84,"Montenegro",41.18,627.082
"85",85,"Malta",40.39,533.286
"86",86,"Russia",39.99,144713.314
"87",87,"Jordan",39.96,11285.869
"88",88,"Turkey",39.62,85341.241
"89",89,"Thailand",39.35,71697.03
"90",90,"North Macedonia",39.12,2093.599
"91",91,"Latvia",38.77,1850.651
"92",92,"Bulgaria",38.21,6781.953
"93",93,"Serbia",38.1,7221.365
"94",94,"Nepal",36.01,30547.58
"95",95,"Germany",35.79,83369.843
"96",96,"Hungary",34.36,9967.308
"97",97,"Luxembourg",34.13,647.599
"98",98,"Norway",33.72,5434.319
"99",99,"Uzbekistan",33.42,34627.652
"100",100,"Kuwait",33.42,4268.873
"101",101,"Lithuania",33.42,2750.055
"102",102,"Spain",33.32,47558.63
"103",103,"Azerbaijan",32.02,10358.074
"104",104,"Israel",31.47,9038.309
"105",105,"Cyprus",31.28,1251.488
"106",106,"Poland",30.5,39857.145
"107",107,"Slovakia",30.37,5643.453
"108",108,"China",30.14,1425887.337
"109",109,"Portugal",29.91,10270.865
"110",110,"Brunei",29,449.002
"111",111,"Cuba",28.33,11212.191
"112",112,"Romania",28.3,19659.267
"113",113,"Singapore",27.96,5975.689
"114",114,"Finland",27.59,5540.745
"115",115,"Netherlands",27.16,17564.014
"116",116,"South Korea",26.68,51815.81
"117",117,"Denmark",26.22,5882.261
"118",118,"Bahrain",25.64,1472.233
"119",119,"Austria",25.54,8939.617
"120",120,"Czech Republic",25.52,10493.986
"121",121,"Saudi Arabia",25.23,36408.82
"122",122,"Rwanda",24.89,13776.698
"123",123,"Croatia",24.59,4030.358
"124",124,"Iceland",23.75,372.899
"125",125,"Estonia",23.71,1326.062
"126",126,"Georgia",23.38,3744.385
"127",127,"Armenia",22.79,2780.469
"128",128,"Slovenia",22.28,2119.844
"129",129,"Japan",22.19,123951.692
"130",130,"Hong Kong",22,7488.865
"131",131,"Switzerland",21.62,8740.472
"132",132,"Oman",20.34,4576.298
"133",133,"Isle Of Man",19.25,84.519
"134",134,"Taiwan",15.46,23893.394
"135",135,"United Arab Emirates",15.23,9441.129
"136",136,"Qatar",12.13,2695.122
